"group","q","d","d_sd","d_lower","d_upper","e","e_lower","e_upper","sample","condition"
"MIS-C",1,178.314782183976,1.06358933885179,176.230185385486,180.399378982466,0.998906404033252,0.987228644812535,1.01058416325397,"Y124-1","ki67+memory_CD4"
"MIS-C",2,178.00021818593,1.5920771636741,174.87980428452,181.12063208734,0.997144239459583,0.979663908377795,1.01462457054137,"Y124-1","ki67+memory_CD4"
"MIS-C-R",0,178.21,0.932872583090213,176.381603334978,180.038396665022,1,0.989740212866721,1.01025978713328,"Y124-R","ki67+memory_CD4"
"MIS-C-R",1,177.89756377254,1.32522468479459,175.300171118919,180.494956426161,0.998246808666965,0.983671910212216,1.01282170712171,"Y124-R","ki67+memory_CD4"
"MIS-C-R",2,177.397531606278,1.98508707588715,173.506832431364,181.288230781193,0.995440949476899,0.973608845919777,1.01727305303402,"Y124-R","ki67+memory_CD4"
"MIS-C",0,178.595,0.680655167677755,177.260940385461,179.929059614539,1,0.992530252165293,1.00746974783471,"Y125-1","ki67+memory_CD4"
"MIS-C",1,178.436765556917,0.950100255098101,176.574603275223,180.298927838612,0.999114004070199,0.988687271621393,1.00954073651901,"Y125-1","ki67+memory_CD4"
"MIS-C",2,178.184763491687,1.38988337040698,175.460642142978,180.908884840395,0.997702978760249,0.982449912612211,1.01295604490829,"Y125-1","ki67+memory_CD4"
"MIS-C",0,177.935,1.06132324726064,175.854844659414,180.015155340586,1,0.988309465026071,1.01169053497393,"Y127-1","ki67+memory_CD4"
"MIS-C",1,177.482056009481,1.57572772887559,174.393686411443,180.570425607518,0.997454441281819,0.980097712150186,1.01481117041345,"Y127-1","ki67+memory_CD4"
"MIS-C",2,176.71100987573,2.62715388229857,171.56188288458,181.860136866879,0.993121139043638,0.964182891980666,1.02205938610661,"Y127-1","ki67+memory_CD4"
"C.HD",0,177.49,1.1861427710722,175.165202888176,179.814797111824,1,0.986901813556685,1.01309818644332,"Y28-2","ki67+memory_CD4"
"C.HD",1,176.858860845934,1.74968737167104,173.429536613255,180.288185078614,0.996444086122792,0.977122861080932,1.01576531116465,"Y28-2","ki67+memory_CD4"
"C.HD",2,175.805886904778,2.82649223343199,170.266063924669,181.345709884887,0.990511504337023,0.959299475602396,1.02172353307165,"Y28-2","ki67+memory_CD4"
"C.HD",0,178.21,0.842286908470567,176.559147994748,179.860852005252,1,0.990736479404905,1.0092635205951,"Y28-4","ki67+memory_CD4"
"C.HD",1,177.888919829667,1.20951728904574,175.518309504459,180.259530154875,0.998198304414271,0.984895962653381,1.01150064617516,"Y28-4","ki67+memory_CD4"
"C.HD",2,177.364909876342,1.85115586184089,173.736711057364,180.99310869532,0.995257897291634,0.974898777045978,1.01561701753729,"Y28-4","ki67+memory_CD4"
"C.HD",0,178.71,0.589608506514936,177.554388562252,179.865611437748,1,0.993533593879762,1.00646640612024,"Y29-2","ki67+memory_CD4"
"C.HD",1,178.585844749926,0.87442678277105,176.871999748577,180.299689751274,0.999305269710288,0.989715179612653,1.00889535980792,"Y29-2","ki67+memory_CD4"
"C.HD",2,178.374020650048,1.42897094267203,175.573289067457,181.17475223264,0.998119974540028,0.982448039099417,1.01379190998064,"Y29-2","ki67+memory_CD4"
"C.HD",0,177.805,1.18490293900993,175.482632914365,180.127367085635,1,0.986938685157138,1.01306131484286,"Y54-4","ki67+memory_CD4"
"C.HD",1,177.330580170443,1.68330740341868,174.031358284833,180.629802056054,0.997331797027324,0.978776515198296,1.01588707885635,"Y54-4","ki67+memory_CD4"
"C.HD",2,176.571108719599,2.52458887425844,171.623005450282,181.519211988916,0.993060424170294,0.965231604568387,1.0208892437722,"Y54-4","ki67+memory_CD4"
"C.HD",0,177.05,1.4861166554372,174.137264878518,179.962735121482,1,0.98354851668183,1.01645148331817,"Y70-4","ki67+memory_CD4"
"C.HD",1,176.240452764039,2.16297753012665,172.001094705622,180.479810822457,0.995427578446988,0.971483166933756,1.01937198996022,"Y70-4","ki67+memory_CD4"
"C.HD",2,174.906320312774,3.38370144223321,168.274387351561,181.538253273987,0.987892235598836,0.950434269141827,1.02535020205584,"Y70-4","ki67+memory_CD4"
"A.HD",0,178.115,0.851705354010559,176.445688180699,179.784311819301,1,0.990627898721047,1.00937210127895,"HA5876","ki67+memory_CD4"
"A.HD",1,177.765777456919,1.19365590301029,175.426254877085,180.105300036753,0.998039342317709,0.984904443068158,1.01117424156726,"HA5876","ki67+memory_CD4"
"A.HD",2,177.206118979953,1.76414527813128,173.748457771319,180.663780188586,0.994897223591234,0.975484702418769,1.0143097447637,"HA5876","ki67+memory_CD4"
"A.HD",0,178.52,0.657083551741975,177.232139903752,179.807860096248,1,0.992785905801883,1.00721409419812,"HA5877","ki67+memory_CD4"
"A.HD",1,178.323514215475,0.987063053150325,176.388906180831,180.25812225012,0.998899362623097,0.98806243659439,1.0097362886518,"HA5877","ki67+memory_CD4"
"A.HD",2,177.993338768829,1.71981410005665,174.622565072614,181.364112465044,0.997049847461512,0.97816807681276,1.01593161811026,"HA5877","ki67+memory_CD4"
"A.HD",0,177.69,1.22121119546113,175.296470039379,180.083529960621,1,0.986529743032129,1.01347025696787,"HA5894","ki67+memory_CD4"
"A.HD",1,177.124935120708,1.80946382080366,173.578451200604,180.671419040811,0.996819939899307,0.976861113178032,1.01677876662058,"HA5894","ki67+memory_CD4"
"A.HD",2,176.16650822579,2.91731723185174,170.448671519882,181.884344931697,0.991426125419492,0.959247405705904,1.02360484513308,"HA5894","ki67+memory_CD4"
"A.HD",0,178.56,0.699173956255185,177.189644226811,179.930355773189,1,0.9923255165032,1.0076744834968,"HA5952","ki67+memory_CD4"
"A.HD",1,178.373148541956,1.01859739216933,176.376734338558,180.369562745355,0.998953564863107,0.98777292976343,1.01013419996278,"HA5952","ki67+memory_CD4"
"A.HD",2,178.05957505085,1.5934890873218,174.936393829942,181.182756271758,0.99719744092098,0.9797065066641,1.01468837517786,"HA5952","ki67+memory_CD4"
"A.HD",0,178.25,0.84324093613979,176.597278134876,179.902721865124,1,0.990728068077847,1.00927193192215,"HA5953","ki67+memory_CD4"
"A.HD",1,177.961972255818,1.17031841697467,175.668190308104,180.255754203532,0.99838413607752,0.985515794154859,1.01125247800018,"HA5953","ki67+memory_CD4"
"A.HD",2,177.509026088325,1.69294179773496,174.190921136841,180.827131039808,0.995843063609114,0.977228169070639,1.01445795814759,"HA5953","ki67+memory_CD4"
"A.HD",0,177.565,1.24237372087128,175.129992251753,180.000007748247,1,0.9862866682722,1.0137133317278,"HA5957","ki67+memory_CD4"
"A.HD",1,177.006985732622,1.7354473741585,173.605571382207,180.408400083038,0.996857408456747,0.977701525538293,1.0160132913752,"HA5957","ki67+memory_CD4"
"A.HD",2,176.125020300358,2.53556395607002,171.155406265963,181.094634334754,0.991890408021617,0.963902831447432,1.0198779845958,"HA5957","ki67+memory_CD4"
"A.HD",0,176.63,1.63906456959956,173.417492475249,179.842507524751,1,0.981812220320723,1.01818777967928,"C27","ki67+memory_CD4"
"A.HD",1,175.614391091139,2.41520372037357,170.880678783879,180.348103398398,0.994250076946943,0.967449916683911,1.02105023720998,"C27","ki67+memory_CD4"
"A.HD",2,173.889845447872,3.97994346293602,166.089299600012,181.690391295732,0.984486471425419,0.940323272377351,1.02864967047349,"C27","ki67+memory_CD4"
"A.HD",0,172.295,3.07983798438331,166.25862847239,178.33137152761,1,0.96496490596007,1.03503509403993,"C32","ki67+memory_CD4"
"A.HD",1,169.003284958911,4.87796466205644,159.442649903421,178.563920014401,0.98089488934044,0.925404973466562,1.03638480521432,"C32","ki67+memory_CD4"
"A.HD",2,163.090600141803,8.65901975052963,146.119233289344,180.061966994263,0.946577672839046,0.848075877357697,1.0450794683204,"C32","ki67+memory_CD4"
"A.HD",0,176.68,1.72116590144632,173.306576821747,180.053423178253,1,0.98090659283307,1.01909340716693,"C33","ki67+memory_CD4"
"A.HD",1,175.636764385274,2.72680171216047,170.292331236457,180.981197534091,0.994095338381674,0.963846112952555,1.02434456381079,"C33","ki67+memory_CD4"
"A.HD",2,173.799130849873,4.97167316531496,164.054830502951,183.543431196794,0.983694424099347,0.928542169475612,1.03884667872308,"C33","ki67+memory_CD4"
"A.HD",0,176.485,1.67445333462872,173.203131770335,179.766868229665,1,0.981404265350226,1.01859573464977,"C39","ki67+memory_CD4"
"A.HD",1,175.287284709737,2.63904315716887,170.114855168039,180.459714251434,0.993213500919265,0.963905460339625,1.02252154149891,"C39","ki67+memory_CD4"
"A.HD",2,173.108398659741,4.80278482278511,163.695113381587,182.521683937895,0.980867488226994,0.927529894220963,1.03420508223303,"C39","ki67+memory_CD4"
"COVID19",0,177.355,1.27951584750643,174.847195021239,179.862804978761,1,0.985859970236188,1.01414002976381,"NS0A","ki67+memory_CD4"
"COVID19",1,176.629329143078,1.91521641746979,172.875573942237,180.383084343919,0.995908371024656,0.974743164513193,1.01707357753612,"NS0A","ki67+memory_CD4"
"COVID19",2,175.384141628006,3.14369056213387,169.222621347686,181.545661908327,0.988887494730944,0.954146324308227,1.02362866515366,"NS0A","ki67+memory_CD4"
"COVID19",0,172.45,2.47753727616233,167.594116168366,177.305883831634,1,0.971841787001255,1.02815821299875,"NS0B","ki67+memory_CD4"
"COVID19",1,168.73188456617,4.1994650802949,160.501084254458,176.962684877882,0.978439458197565,0.930710839399585,1.02616807699554,"NS0B","ki67+memory_CD4"
"COVID19",2,161.366614982285,8.49088360058131,144.724788928223,178.008441036346,0.935729863625889,0.839227538000716,1.03223218925106,"NS0B","ki67+memory_CD4"
"COVID19",0,178.1,1.05620920723464,176.02986799368,180.17013200632,1,0.988376574922406,1.01162342507759,"NS1A","ki67+memory_CD4"
"COVID19",1,177.740678140218,1.50941088638227,174.782287165036,180.6990691154,0.99798247130948,0.981371629225359,1.0145933133936,"NS1A","ki67+memory_CD4"
"COVID19",2,177.160191504654,2.29955748448528,172.653141654683,181.667241354625,0.994723141519674,0.969416853760153,1.02002942927919,"NS1A","ki67+memory_CD4"
"COVID19",0,177.69,1.24968337698537,175.24066558903,180.13933441097,1,0.986215687934213,1.01378431206579,"NS1B","ki67+memory_CD4"
"COVID19",1,177.139145464092,1.84120584081592,173.530448327968,180.747842600216,0.996899912567348,0.976590963633114,1.01720886150158,"NS1B","ki67+memory_CD4"
"COVID19",2,176.216534962258,2.95223018081519,170.430270133788,182.002799790728,0.991707664822209,0.959143846776906,1.02427148286751,"NS1B","ki67+memory_CD4"
"COVID19",0,173.185,2.43937033641695,168.403921995667,177.966078004333,1,0.972393232645249,1.02760676735475,"TP8B","ki67+memory_CD4"
"COVID19",1,170.711825504762,3.613696663341,163.629110193561,177.794540815963,0.985719464761741,0.944822647420742,1.02661628210274,"TP8B","ki67+memory_CD4"
"COVID19",2,166.608860589256,5.89434773633065,155.056151313692,178.161569864819,0.962028239104169,0.895320907201503,1.02873557100684,"TP8B","ki67+memory_CD4"
"COVID19",0,175.14,2.33616960904192,170.561191704501,179.718808295499,1,0.973856296131671,1.02614370386833,"TS2A","ki67+memory_CD4"
"COVID19",1,172.821981761835,4.2684055695594,164.456060574088,181.187902949581,0.986764769680454,0.938997719390705,1.0345318199702,"TS2A","ki67+memory_CD4"
"COVID19",2,167.921937107353,9.3006713254068,149.692956277511,186.150917937195,0.958786896810283,0.854704557939427,1.06286923568114,"TS2A","ki67+memory_CD4"
"COVID19",0,176.23,1.86937766765349,172.566087097896,179.893912902104,1,0.979209482482527,1.02079051751747,"TS2B","ki67+memory_CD4"
"COVID19",1,175.044085805402,2.76853885924319,169.617849351486,180.470322259318,0.993270645210247,0.962479994050307,1.02406129637019,"TS2B","ki67+memory_CD4"
"COVID19",2,173.036018397502,4.5372180949146,164.143234341466,181.928802453538,0.981876061950304,0.931414823477648,1.03233730042296,"TS2B","ki67+memory_CD4"
"COVID19",0,175.5,2.03240086260847,171.516567507139,179.483432492861,1,0.977302378958058,1.02269762104194,"TS3A","ki67+memory_CD4"
"COVID19",1,173.916860233007,3.0994014643791,167.842144989194,179.991575476821,0.990979260586937,0.956365498513924,1.02559302265995,"TS3A","ki67+memory_CD4"
"COVID19",2,171.162645582695,5.27934990584851,160.815309905447,181.509981259943,0.975285729815926,0.91632655216779,1.03424490746406,"TS3A","ki67+memory_CD4"
"COVID19",0,176.425,1.54801704897575,173.390942336554,179.459057663446,1,0.982802563902812,1.01719743609719,"TS3B","ki67+memory_CD4"
"COVID19",1,175.394561678721,2.22714103037184,171.029445470701,179.759677886741,0.994159340675761,0.969417290467343,1.01890139088418,"TS3B","ki67+memory_CD4"
"COVID19",2,173.741668475026,3.41725754289145,167.043966765061,180.439370184991,0.984790525577588,0.946827075329805,1.02275397582537,"TS3B","ki67+memory_CD4"
"A.HD",0,96.22,4.40894476829198,87.5786270443214,104.861372955679,1,0.910191509502405,1.08980849049759,"HD_32M","ki67+memory_CD8"
"A.HD",1,85.6927538311839,6.0274151098004,73.8792372961026,97.5062703662652,0.890591912608438,0.767815810601773,1.0133680146151,"HD_32M","ki67+memory_CD8"
"A.HD",2,72.3597792505658,7.94496132310419,56.7879411987179,87.9316173024137,0.752024311479587,0.590188538752005,0.913860084207168,"HD_32M","ki67+memory_CD8"
"A.HD",0,96.11,4.47639257128565,87.3364317796175,104.883568220383,1,0.908713263756295,1.09128673624371,"HD_35F","ki67+memory_CD8"
"A.HD",1,78.6409882851511,7.63371437619036,63.6791830395523,93.6027935307498,0.818239395329841,0.662565633540238,0.973913157119444,"HD_35F","ki67+memory_CD8"
"A.HD",2,53.1602719720478,11.2205717387951,31.1683554780614,75.1521884660343,0.553119050796461,0.324298777214248,0.781939324378673,"HD_35F","ki67+memory_CD8"
"A.HD",0,85.185,5.84221123897485,73.7344763815342,96.6355236184658,1,0.865580517480004,1.13441948252,"HD_36M","ki67+memory_CD8"
"A.HD",1,64.1462656199211,8.07481139270078,48.3199261082738,79.9726051315683,0.753023016023022,0.567235148303972,0.938810883742071,"HD_36M","ki67+memory_CD8"
"A.HD",2,40.4187168285135,9.07581646693646,22.6304434230225,58.2069902340046,0.474481620338247,0.265662304666579,0.683300936009914,"HD_36M","ki67+memory_CD8"
"C.HD",0,114.78,2.76401863144496,109.36262302977,120.19737697023,1,0.952802082503661,1.04719791749634,"NC-13F","ki67+memory_CD8"
"C.HD",1,110.36540764572,4.79977681741664,100.958017949753,119.772797341687,0.961538662186093,0.879578480133759,1.04349884423843,"NC-13F","ki67+memory_CD8"
"C.HD",2,102.237147310482,9.6282813442959,83.3660626426436,121.108231978321,0.890722663447312,0.726311749805224,1.0551335770894,"NC-13F","ki67+memory_CD8"
"MIS-C",0,83.07,4.69952419274451,73.8591018377461,92.2808981622539,1,0.889118837579705,1.11088116242029,"Y111-1","ki67+memory_CD8"
"MIS-C",1,62.1334251127393,6.42052638655145,49.5494246333093,74.7174255921692,0.747964669709152,0.596477965972184,0.89945137344612,"Y111-1","ki67+memory_CD8"
