,AptName,EntrezGeneID,EntrezGeneSymbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,plasma_membrane_associated,in_tissue_atlas,log.adj.P.Val,myeloid_plasma,myeloid_soluble,liver
0,A1BG.16561.9,1,A1BG,-0.45594369492485604,6.3598764154989,-2.34290385914995,0.0486521174826759,0.18404892674716503,-4.52320981261175,False,True,0.7350667107309952,False,True,True
1,A1CF.12423.38,29974,A1CF,0.19899441038381302,5.813583123874491,1.2501995435664,0.2481592831013,0.45090254296321103,-6.11340869089402,False,True,0.34591731538809345,False,False,True
2,A2M.3708.62,2,A2M,-1.25689757492525,10.0529797936929,-3.4764703236039,0.008985901855131859,0.0856025387252035,-2.5835037036269903,False,True,1.0675133552060536,False,False,True
3,A2ML1.15482.12,144568,A2ML1,0.31430156367704903,5.898929846300531,1.12731226850548,0.29376700663286304,0.495685741561224,-6.23566605746197,False,True,0.304793573429612,False,False,False
4,A4GALT.8759.29,53947,A4GALT,-0.8007266485583749,4.78087121795767,-5.821822093538259,0.00046963027643681296,0.0213139848182952,0.15125558065716,False,True,1.6713353479012996,False,False,False
5,A4GNT.10835.25,51146,A4GNT,0.0142934386758782,5.665202548273269,0.0259010067217294,0.979999974940753,0.9919994042328629,-6.913135422471401,False,True,0.0034885886708796374,False,False,False
6,AAGAB.11926.23,79719,AAGAB,0.5779289776295071,6.90525415714069,2.3659676379203196,0.0469649071815153,0.181102038818383,-4.418077644625581,False,True,0.7420766604391763,False,False,False
7,AARS.12340.17,16,AARS,0.0241211677029369,6.641365279298889,0.119848124286448,0.9076947869758419,0.952314399494611,-6.795852648429401,False,True,0.021219648859237526,False,False,False
8,AASDHPPT.17320.19,60496,AASDHPPT,-0.313999642624673,7.931050377486581,-1.48638391801767,0.177233550273387,0.37334874108619504,-5.5366724776633705,False,True,0.42788530875313674,False,False,False
9,ABCC6.8935.22,368,ABCC6,0.291241258331885,5.70249989329263,1.38400298514862,0.20544026169700697,0.40502801489154294,-5.977531271476849,True,True,0.3925149365581062,False,False,True
10,ABHD10.17370.186,55347,ABHD10,0.412642064380242,6.10379368390544,2.5519283427623303,0.0353547287425045,0.156813716741024,-4.25673357932086,False,True,0.8046159515725613,False,False,False
